Brand Name, Product Name, Price, Size, Units, Quantity
Penflex  Snack Box, Penflex  Snack Box,,,,1
Castrol  5 l  Edge 10W-60, Castrol  5 l  Edge 10W-60,,5,l,1
Major Tech  Digital Industrial Timer, Major Tech  Digital Industrial Timer,,,,1
Butterfly  3 m x 480 mm  Polyroll 50 Micron, Butterfly  3 m x 480 mm  Polyroll 50 Micron,,480,mm,1
Hamiltons  140 mm  Specialist Roof Renovator Brush, Hamiltons  140 mm  Specialist Roof Renovator Brush,,140,mm,1
Dirtrapper  400 mm x 600 mm  Doormat, Dirtrapper  400 mm x 600 mm  Doormat,,400,mm,1
Major Tech  25 Amp  Day and Night Switch, Major Tech  25 Amp  Day and Night Switch,,,,1
Castrol  5 l  Edge 5W-40, Castrol  5 l  Edge 5W-40,,5,l,1
ARO  3 pack  Ramekin, ARO  3 pack  Ramekin,,,pack,3
Osram  14 W  Energy Saver ES CW 10-Pack, Osram  14 W  Energy Saver ES CW 10-Pack,,14,w,1
ARO  20 l  Urn, ARO  20 l  Urn,,20,l,1
Addis  56 l  Catering Storage Box, Addis  56 l  Catering Storage Box,,56,l,1
Ethnix  36 cm x 92 cm  Mens Rpyal Blue Conti suit, Ethnix  36 cm x 92 cm  Mens Rpyal Blue Conti suit,,36,cm,1
Shoot  Vegas Pool Table, Shoot  Vegas Pool Table,,,,1
Staedtler  Double-Hole Tub Sharpener, Staedtler  Double-Hole Tub Sharpener,,,,1
Delonghi  Magnifica Automatic Coffee Machine, Delonghi  Magnifica Automatic Coffee Machine,,,,1
Shield  Splash 'n Dash Sponge, Shield  Splash 'n Dash Sponge,,,,1
Big Jim  14l  Triangular Cleaning Bucket, Big Jim  14l  Triangular Cleaning Bucket,,14,l,1
Brother  12 mm x 8 m  TZe-231 Black on White Laminated Tape, Brother  12 mm x 8 m  TZe-231 Black on White Laminated Tape,,8,m,1
Bosch  230 mm 2000 W  Angle Grinder Kit, Bosch  230 mm 2000 W  Angle Grinder Kit,,2000,w,1
